*Org
U422,UTAustin,t
U502,UTDallas,t
U430,RICE,t
U693,Baylor,t
U203,UoH,t
U108,TAMU,t
O931,NCAA,f
O901,Woodlands,f
O992,SouthTexas,f
*Meet
NCAA_Summer,2007-05-06,4,O931
Rice Invitational,2007-12-10,4,U430
UT_Meet,2007-01-07,5,U422
SouthConfed,2006-03-11,7,O992
Rice_Winter,2006-05-12,4,U430
*Participant
P187734,Mary,F,U502
P239302,Patricia,F,U430
P744651,Linda,F,U203
P608878,Lucas,M,U693
P779068,Barbara,F,U203
P896191,Elizabeth,F,U430
P596208,Jennifer,F,U693
P946656,Caden,M,U430
P512304,Maria,F,U422
P888246,Susan,F,U502
P411523,Santiago,M,U502
P320247,Mateo,M,U422
P174047,Margaret,F,U693
P787951,Dorothy,F,U430
P419077,Serena,F,U502
P326451,Lisa,F,U502
P844138,Karen,F,U430
P375195,Benjamin,M,U422
P350087,Nicolas,M,U422
P782093,Diego,M,U502
P944240,Jackson,M,U693
P744201,Betty,F,U430
P246719,Liam,M,U203
P686315,Noah,M,U203
P408363,Sandra,F,U422
P363719,Ethan,M,U430
P710107,Donny,F,U203
P482516,Jacob,M,U693
P892923,Carol,F,U430
P503806,Ruth,F,U430
P768448,Cynthia,F,U430
P108977,Anna,F,U430
P925991,Samuel,M,U693
P126715,Rebecca,F,U502
P801697,Amy,F,U203
P257391,Amanda,F,U693
P720454,Matias,M,U693
P266751,Amy,F,U203
P314927,Karen,F,U422
P263779,Catherine,F,U203
P581736,Aiden,M,U203
P414627,Mason,M,U502
P251935,Frances,F,U203
P648329,Shirley,F,U422
P595877,Laura,F,U693
P315434,Michelle,F,U430
P857171,Sebastian,M,U693
P259364,Amanda,F,U693
P472703,Alejandro,M,U203
P373735,Logan,M,U203
P667298,Martin,M,U422
P551881,Ethan,M,U502
P650269,Gloria,F,U422
P966483,Aiden,M,U502
P451875,Elijah,M,U693
P214547,Katherine,F,U430
P837450,Liam,M,U693
P424921,Joshua,M,U203
P326379,Carter,M,U430
P814834,Mason,M,U502
P385867,Wanda,F,U430
P260428,Jayden,M,U203
P313609,Anjali,F,U693
P938149,Aditi,F,U203
P673060,Shreya,F,U693
P500771,Kavya,F,U422
P774555,Muhammad,M,U430
P343775,Daniel,M,U422
P544338,William,M,U422
P691498,Eric,M,U430
P849004,Jason,M,U422
P831647,Victoria,F,U693
P531550,David,M,U422
P761841,Valeria,F,U502
P691951,Mohammad,M,U422
P852515,Jacob,M,U430
P614836,Benjamin,M,U422
P152708,Aliah,F,U502
P813991,Daniel,M,U422
P296082,Fatima,F,U502
P944182,Abril,F,U430
P132685,Ana Paula,F,U693
P896372,Mary,F,U430
P282743,Samantha,F,U430
P994822,Jeremiah,M,U430
P422145,Rose,F,U430
P999815,Amir,M,U203
P244567,Ethan,M,U422
P713611,Winter,F,U693
P759847,Victoria,F,U693
P627706,Aiden,M,U203
P298187,Ryan,M,U203
P354503,Patricia,F,U693
P518763,Linda,F,U693
P676479,Susan,F,U502
P390796,Lucas,M,U430
P126504,Vivian,F,U422
